Date,Résultat cumulé
2026-08-19,500.2773166568231
2026-08-20,604.4198545059842
2026-08-21,735.5669593479663
2026-08-24,1228.347676032151
2026-08-25,1170.5123089764202
2026-08-26,2676.9463072250887
2026-08-27,4185.36607378366
2026-08-28,4749.227481870219
2026-08-31,5405.30052514019
2026-09-01,5620.265267515102
2026-09-02,6376.439104757591
2026-09-03,6636.092124840875
2026-09-04,7908.735321634205
2026-09-08,8636.909539458564
2026-09-09,9193.791470637614
2026-09-10,9516.702364091856
2026-09-14,10602.731437755903
2026-09-15,10868.017165622183
2026-09-16,10586.067218834833
