Date,Résultat cumulé
2025-09-15,-287.7091623595929
2025-09-16,-306.7644760992039
2025-09-17,-444.2115574926253
2025-09-18,-902.0743342376913
2025-09-22,-830.49278385546
2025-09-23,-709.7613646650325
2025-09-24,542.7915319633548
2025-09-25,1320.5605525674705
2025-09-26,1457.6249546125923
2025-09-30,1135.6792316883307
2025-10-02,1061.329440368945
2025-10-06,738.6628653343403
2025-10-07,1027.9635138745298
2025-10-08,1268.7298850056522
2025-10-13,1696.832312771625
2025-10-14,1852.3224521096
2025-10-15,2058.366399516244
2025-10-16,2107.2064042811226
2025-10-17,2285.9736485799544
2025-10-21,2280.7296899843236
2025-10-23,2807.940455191062
2025-10-24,2373.157432061624
2025-10-29,2248.1582344318726
2025-10-30,2403.4291984851816
2025-10-31,2348.272839549716
2025-11-04,2057.2396386805976
2025-11-05,2139.9980489041977
2025-11-07,2373.4931604912654
2025-11-11,2608.2296788371937
2025-11-12,2563.562842917981
2025-11-13,2588.411034401876
2025-11-17,2379.665854559618
2025-11-18,2664.1105577483113
2025-11-19,2891.316714956056
2025-11-20,2230.205307146269
2025-11-21,2597.534535900856
2025-11-24,2832.0211433359054
2025-11-25,2912.028920866956
2025-11-26,2886.8540530102027
2025-11-28,3145.6930460044196
2025-12-01,3418.5690257644806
2025-12-02,4159.858847733969
2025-12-04,3521.8564370497825
2025-12-08,3130.821758139702
2025-12-09,3126.8460777134896
2025-12-10,3538.8413564410466
2025-12-12,3171.9627254323887
2025-12-16,3100.1158801401793
2025-12-17,2690.432211803902
2025-12-18,2584.0492751997353
2025-12-19,2632.807106845712
2025-12-22,2231.645723301606
2025-12-23,2261.998038577478
2025-12-24,2209.6016650285515
2025-12-26,2173.1130471960482
2025-12-29,2186.323893635579
2025-12-30,2436.7227921498293
2025-12-31,2169.3431239142415
2026-01-02,3021.871898517753
2026-01-05,2488.0894477944416
2026-01-07,2751.525275170229
2026-01-09,4623.944053066696
2026-01-13,4658.924341991223
2026-01-16,4669.63540384505
2026-01-20,4936.0206377888235
2026-01-21,6734.97816307579
2026-01-22,6830.856849779915
2026-01-26,6426.611784247756
2026-01-27,6500.184845522155
2026-01-28,6434.896377198533
2026-01-29,6844.054288029879
2026-01-30,6860.617814389793
2026-02-04,6670.871665008592
2026-02-05,6807.4553010234695
2026-02-09,6806.888651824085
2026-02-10,6694.882422376151
2026-02-12,6253.650816887565
2026-02-13,6478.738804600505
2026-02-18,6278.390763304744
2026-02-20,6165.615762796662
2026-02-24,6623.665769067991
2026-02-25,6729.6850976335245
2026-03-02,6504.708874943065
2026-03-03,6426.439960731165
2026-03-04,6769.077162157741
2026-03-05,6648.193872893252
2026-03-06,6275.586618525852
2026-03-09,6454.253400926071
2026-03-10,6411.992928672922
2026-03-11,6907.507604013829
2026-03-17,6721.547483943006
2026-03-18,6909.329837343631
2026-03-20,5597.294999855013
2026-03-23,5487.182263120902
2026-03-24,5789.038183798849
2026-03-25,6369.191673577206
2026-03-30,5944.454132087042
2026-03-31,6464.120464751734
2026-04-01,7065.481024014732
2026-04-07,7450.763244372842
2026-04-08,7738.290659436259
2026-04-10,7756.316487498294
2026-04-13,8238.786732798419
2026-04-14,8031.60407273921
2026-04-15,8346.501914471388
2026-04-16,8896.324751071566
2026-04-17,8998.32184455006
2026-04-20,9035.145503898866
2026-04-22,9194.023723360753
2026-04-23,9296.89820458211
2026-04-24,9673.251028388278
2026-04-27,9488.351319386773
2026-04-28,9886.973109793937
2026-04-29,10886.508827388363
2026-04-30,10769.354524557419
2026-05-01,11458.196370969188
2026-05-04,11115.385167559514
2026-05-06,11162.743694755665
2026-05-07,11036.640835917955
2026-05-08,12226.089419103064
2026-05-11,12006.040154481534
2026-05-13,11629.099912097334
2026-05-14,11739.86186940626
2026-05-15,11646.956844909018
2026-05-19,12004.032894166463
2026-05-20,12475.552053517744
2026-05-21,12637.350310807771
2026-05-26,12753.64827859573
2026-05-27,12838.836780766156
2026-05-28,12785.021642246526
2026-05-29,12737.584654522389
2026-06-01,12675.757413133604
2026-06-02,12720.429667257988
2026-06-03,12401.755973492007
2026-06-05,11028.727243677964
2026-06-08,11137.483912810289
2026-06-10,11232.740174986884
2026-06-11,11535.770702042168
2026-06-15,11235.969387352923
2026-06-16,11091.122813277025
2026-06-17,10986.894427022971
2026-06-18,11152.28460796135
2026-06-22,11059.309246648842
2026-06-23,11141.587596246682
2026-06-24,11079.753714350682
2026-06-25,10769.14094403581
2026-06-26,10844.612421928461
2026-06-29,11216.266061353903
2026-07-01,11129.264099599965
2026-07-02,10411.612857022234
2026-07-06,10351.238744677734
2026-07-07,9843.069913462898
2026-07-08,10022.201470004458
2026-07-09,9992.653266861287
2026-07-14,9835.481142761766
2026-07-15,9258.170528689756
2026-07-16,9507.964971089865
2026-07-21,9945.990836651643
2026-07-24,9144.874767836267
2026-07-27,8997.64714470123
2026-07-28,8604.179351412955
2026-07-29,7520.662553922044
2026-07-30,8460.422437282428
2026-07-31,7786.311168654227
2026-08-03,7839.578596275213
2026-08-04,8429.667096132262
2026-08-07,8261.354379690265
2026-08-11,8394.845947576143
2026-08-12,8267.881262843493
2026-08-17,8001.728551254979
2026-08-18,7746.739763896552
2026-08-19,7273.482353257036
2026-08-20,7301.782614393756
2026-08-21,7277.708342520566
2026-08-24,7097.649996455833
2026-08-25,6524.699902829284
2026-08-27,7113.223614024095
2026-08-28,7395.748768924974
