AAPL
ADBE
ADI
ADP
ADSK
AKAM
ALTR
ALXN
AMAT
AMGN
AMZN
ATVI
AVGO
BBBY
BIDU
BIIB
CELG
CERN
CHKP
CHRW
CHTR
CMCSA
COST
CSCO
CTSH
DISCA
DISCK
DISH
